Year,Rep,Site,Date,Microsite,ID notes,Schismus barbatus,Crypantha sp.,Oenothera cespitosa,Nemacladus,Lepidium fremontii ,Gilia clokeyi,Dasyochloa pulchella,Descurainia pinnata,Aliciella leptomeria,Acmispon strigosus,Chorizanthe brevicornu,Oxytheca perfoliata,Chaenactis carphoclinia,Caulanthus lasiophyllus,Eriophyllum wallacei,Chylismia caliviformis,unknown YG1,Menzelia sp.,Loeseliastrum schotti,Pectocarya,Chorizanthhe rigida,Chylismia brevipes,Rafinesquia neomexicana,Brassica tournefortii,Pectocarya sp.,Linanthus dumosa,Eriogonum,tiny fuzzy white,Chaenactis fremonti,Malacothrix glabrata,Erodium cicutarium,Bromus rubens,Lasthenia californica,Eremalche parryi,woolystar?,Camissonia campestris,Hordeum murinum,Astragalus didymocarpus/lentigonsus,Bromus diandrus,Castilleja exserta,Bromus diandrus?,Poa secunda?,Bromus tectorum?,Bromus diandrs?,Salvia carduacea,Amsinckia,small grass,white phace vine,Phacelia tanacetifolia,Lastarriaea coriacea,Eriophyllum pringlei,unk,Eriogonum,Eremocarya??,Eschscholzia Glyptosperma,Geranium californicum,Phacelia fremontii,tiny buckwheat,Cryptantha nevadensis,Astragalus nuttallianus?,Lepidium,Festuca octoflora,Globemallow?,Lupinus sp.,unk,Allium?
,,,,,,med grass,,,tiny rosette,,,fluffy white,,,,long leaf/spiky HOM,,slender green YG,,wallace wooly,brown-eyed primrose,,,little sunbonnets,long with tiny whitish flowers,furry leaf with spikes,yellow primrose,desert chicory,sahara mustard,,,yellow flowered,yellow stamen,pincushion,,,,Gokldfields,purple,unknown white fuzzy on leaves cuy 1/unknown bud,yellow cuyama,barley,purple pinnate,ripgut brome,purple cone,tall slender grass,bluestem,cuyama grass1,cuyama grass2,"fuzzy purple, thistle sage",,,,,spiky,low fuzzy yello,red and yellow,"dried out, sheephole",white fuzzy hom,,"california geranium, drawn outline",,tiny buckwheat,,milkvetch,lepium YG,shhort grass Yg,like bells,lupine,flat round,unknown YG
2023,1,Yucca,2023-04-17,shrub,,54,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Yucca,2023-04-17,shrub,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,
2023,2,Yucca,2023-04-17,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023,3,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023,3,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Yucca,2023-04-17,shrub,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,Yucca,2023-04-17,shrub,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,51,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
2023,5,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2023,6,Yucca,2023-04-17,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023,7,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2023,9,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2023,10,Yucca,2023-04-17,shrub,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2023,11,Yucca,2023-04-17,shrub,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,Yucca,2023-04-17,shrub,,17,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,13,Yucca,2023-04-17,shrub,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,1,1,,,
2023,13,Yucca,2023-04-17,open,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,14,Yucca,2023-04-17,shrub,,19,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,14,Yucca,2023-04-17,open,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,15,Yucca,2023-04-17,shrub,,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,15,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,16,Yucca,2023-04-17,shrub,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,16,Yucca,2023-04-17,open,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,17,Yucca,2023-04-17,shrub,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,17,Yucca,2023-04-17,open,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,18,Yucca,2023-04-17,shrub,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
2023,18,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,19,Yucca,2023-04-17,shrub,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,19,Yucca,2023-04-17,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,20,Yucca,2023-04-17,shrub,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2023,20,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,21,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,21,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,22,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023,22,Yucca,2023-04-17,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,23,Yucca,2023-04-17,shrub,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023,23,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,24,Yucca,2023-04-17,shrub,,11,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,24,Yucca,2023-04-17,open,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25,Yucca,2023-04-17,shrub,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,Yucca,2023-04-17,shrub,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27,Yucca,2023-04-17,shrub,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2023,27,Yucca,2023-04-17,open,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,28,Yucca,2023-04-17,shrub,,59,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,28,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,Yucca,2023-04-17,shrub,,40,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,Yucca,2024-04-21,shrub,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,Yucca,2024-04-21,open,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2024,2,Yucca,2024-04-21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,Yucca,2024-04-21,shrub,,19,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,Yucca,2024-04-21,open,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,4,Yucca,2024-04-21,shrub,,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
2024,4,Yucca,2024-04-21,open,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
2024,5,Yucca,2024-04-21,shrub,,18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
2024,5,Yucca,2024-04-21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,6,Yucca,2024-04-21,shrub,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,
2024,6,Yucca,2024-04-21,open,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,7,Yucca,2024-04-21,shrub,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,7,Yucca,2024-04-21,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2024,8,Yucca,2024-04-21,shrub,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8,Yucca,2024-04-21,open,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,Yucca,2024-04-21,open,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,10,Yucca,2024-04-21,shrub,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,10,Yucca,2024-04-21,open,,15,,,3,,,,1,,,,4,3,,,,,,,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,11,Yucca,2024-04-21,shrub,,4,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,11,Yucca,2024-04-21,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
2024,12,Yucca,2024-04-21,shrub,,60,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,Yucca,2024-04-21,open,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2024,13,Yucca,2024-04-21,shrub,,17,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2024,13,Yucca,2024-04-21,open,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,14,Yucca,2024-04-21,shrub,,36,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,14,Yucca,2024-04-21,open,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2024,15,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,15,Yucca,2024-04-21,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,16,Yucca,2024-04-21,shrub,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,16,Yucca,2024-04-21,open,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,17,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024,17,Yucca,2024-04-21,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,18,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2024,18,Yucca,2024-04-21,open,,,,1,9,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,19,Yucca,2024-04-21,shrub,,2,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,19,Yucca,2024-04-21,open,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,20,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,20,Yucca,2024-04-21,open,,,,1,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,21,Yucca,2024-04-21,shrub,,22,,,2,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,21,Yucca,2024-04-21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,23,Yucca,2024-04-21,shrub,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,23,Yucca,2024-04-21,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,22,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,22,Yucca,2024-04-21,open,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,Yucca,2024-04-21,open,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,25,Yucca,2024-04-21,shrub,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,25,Yucca,2024-04-21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,Yucca,2024-04-21,shrub,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,Yucca,2024-04-21,open,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2024,27,Yucca,2024-04-21,open,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28,Yucca,2024-04-21,open,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2024,29,Yucca,2024-04-21,shrub,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,29,Yucca,2024-04-21,open,,12,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2024,30,Yucca,2024-04-21,open,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,Yucca,2024-04-21,shrub,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2024,31,Yucca,2024-04-21,open,,15,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024,32,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,
2024,32,Yucca,2024-04-21,open,,41,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,33,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,33,Yucca,2024-04-21,open,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,Yucca,2024-04-21,shrub,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,Yucca,2024-04-21,open,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,Yucca,2024-04-21,shrub,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,Yucca,2024-04-21,open,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,36,Yucca,2024-04-21,shrub,,23,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2024,36,Yucca,2024-04-21,open,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,37,Yucca,2024-04-21,shrub,,15,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,37,Yucca,2024-04-21,open,,10,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2024,38,Yucca,2024-04-21,shrub,,23,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,38,Yucca,2024-04-21,open,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,39,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2024,39,Yucca,2024-04-21,open,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2024,40,Yucca,2024-04-21,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,40,Yucca,2024-04-21,open,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
