,year,Season,site,label,count,highest.rtu,Order,Family,Tribe,Genus,Species,X,X.1
13,2023,spring,Barstow,S9,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
3,2023,spring,Barstow,O19,2,,Hymenoptera,Formicidae,,Forelius,mccooki,,
1,2023,spring,Barstow,O14,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
2,2023,spring,Barstow,O19,2,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
4,2023,spring,Barstow,O20,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
5,2023,spring,Barstow,O30,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
7,2023,spring,Barstow,S15,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
9,2023,spring,Barstow,S20,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
10,2023,spring,Barstow,S24,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
11,2023,spring,Barstow,S25,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
207,2024,spring,Barstow,O9,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
211,2024,spring,Barstow,S29,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,blackones,
215,2024,spring,Barstow,S5,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
6,2023,spring,Barstow,O9,1,,Hymenoptera,Formicidae,,Myrmecocystus,brown,,
8,2023,spring,Barstow,S19,1,,Hymenoptera,Formicidae,,Myrmecocystus,brown,,
12,2023,spring,Barstow,S30,1,,Hymenoptera,Formicidae,,Solenopsis,Solenopsis xyloni,,
208,2024,spring,Barstow,S10,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
209,2024,spring,Barstow,S20,10,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
210,2024,spring,Barstow,S24,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
212,2024,spring,Barstow,S30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
213,2024,spring,Barstow,S39,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
214,2024,spring,Barstow,S4,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
98,2023,summer,Cuyama1,S30,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
90,2023,summer,Cuyama1,O20,20,,Hymenoptera,Formicidae,,Messor,pergandei,,
93,2023,summer,Cuyama1,O29,85,,Hymenoptera,Formicidae,,Messor,pergandei,,
14,2023,spring,Cuyama1,O5,1,,Hymenoptera,Formicidae,,Myrmecocystus,alate or queen,,
87,2023,summer,Cuyama1,O14,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
88,2023,summer,Cuyama1,O15,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
94,2023,summer,Cuyama1,O4,2,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
96,2023,summer,Cuyama1,S14,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
92,2023,summer,Cuyama1,O29,2,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
95,2023,summer,Cuyama1,S14,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
97,2023,summer,Cuyama1,S29,1,,Hymenoptera,Formicidae,,Pheidole,"major, damaged",,
91,2023,summer,Cuyama1,O24,1,,Hymenoptera,Formicidae,,Pheidole?,alate,,
15,2023,spring,Cuyama1,S10,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
89,2023,summer,Cuyama1,O15,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,alate,
107,2023,summer,Cuyama2,O19,2,,Hymenoptera,Formicidae,,alate,,,
22,2023,spring,Cuyama2,S25,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
100,2023,summer,Cuyama2,O10,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
124,2023,summer,Cuyama2,O9,2,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
126,2023,summer,Cuyama2,S10,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
134,2023,summer,Cuyama2,S4,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
136,2023,summer,Cuyama2,S9,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
17,2023,spring,Cuyama2,O10,1,,Hymenoptera,Formicidae,,Forelius,pruiosis,,
18,2023,spring,Cuyama2,O20,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
101,2023,summer,Cuyama2,O10,2,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
105,2023,summer,Cuyama2,O19,4,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
109,2023,summer,Cuyama2,O2,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
111,2023,summer,Cuyama2,O24,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
116,2023,summer,Cuyama2,O25,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
119,2023,summer,Cuyama2,O30,1,,Hymenoptera,Formicidae,,Messor ,pergandei,,
110,2023,summer,Cuyama2,O24,2,,Hymenoptera,Formicidae,,Myrmecocystus,myrmecocystus,,
120,2023,summer,Cuyama2,O30,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
16,2023,spring,Cuyama2,O10,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
20,2023,spring,Cuyama2,S10,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
102,2023,summer,Cuyama2,O14,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
104,2023,summer,Cuyama2,O15,2,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
106,2023,summer,Cuyama2,O19,2,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
113,2023,summer,Cuyama2,O24,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
115,2023,summer,Cuyama2,O25,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
122,2023,summer,Cuyama2,O4,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
127,2023,summer,Cuyama2,S10,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
128,2023,summer,Cuyama2,S15,3,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
129,2023,summer,Cuyama2,S19,6,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
132,2023,summer,Cuyama2,S25,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
135,2023,summer,Cuyama2,S5,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,major,
19,2023,spring,Cuyama2,O25,1,,Hymenoptera,Formicidae,,Pogonomyrex,red,,
99,2023,summer,Cuyama2,O10,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
108,2023,summer,Cuyama2,O2,2,,Hymenoptera,Formicidae,,Pogonomyrmex,1 alate,,
112,2023,summer,Cuyama2,O24,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
114,2023,summer,Cuyama2,O25,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
117,2023,summer,Cuyama2,O29,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
121,2023,summer,Cuyama2,O4,3,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
123,2023,summer,Cuyama2,O5,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
21,2023,spring,Cuyama2,S24,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
23,2023,spring,Cuyama2,S30,2,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
103,2023,summer,Cuyama2,O14,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,alate,
118,2023,summer,Cuyama2,O30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,alate,
125,2023,summer,Cuyama2,O9,1,,Hymenoptera,Formicidae,,Solenopsis,molesta,,
131,2023,summer,Cuyama2,S20,1,,Hymenoptera,Formicidae,,Solenopsis,molesta,,
133,2023,summer,Cuyama2,S30,2,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
130,2023,summer,Cuyama2,S20,1,,Hymenoptera,Formicidae,,Solenopsis ,xyloni,queen/alate,
36,2023,spring,HOM,S10,2,,Hymenoptera,Formicidae,,Crematogaster,depilis,,
45,2023,spring,HOM,S5,4,,Hymenoptera,Formicidae,,Crematogaster,depilis,,
32,2023,spring,HOM,O29,1,,Hymenoptera,Formicidae,,Forelius,mccoki,,
35,2023,spring,HOM,O30,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
43,2023,spring,HOM,S30,1,,Hymenoptera,Formicidae,,Forelius,mccoki,,
137,2023,summer,HOM,O14,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
28,2023,spring,HOM,O24,1,,Hymenoptera,Formicidae,,Monomorium,ergatogyna,,
40,2023,spring,HOM,S24,1,,Hymenoptera,Formicidae,,Monomorium,ergatogyna,new to me!!,
24,2023,spring,HOM,O1,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
26,2023,spring,HOM,O15,1,,Hymenoptera,Formicidae,,Myrmecocystus,lugubris,,
27,2023,spring,HOM,O15,1,,Hymenoptera,Formicidae,,Myrmecocystus,,,
29,2023,spring,HOM,O25,2,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
44,2023,spring,HOM,S4,1,,Hymenoptera,Formicidae,,Myrmecocystus,ewarti,,
46,2023,spring,HOM,S5,1,,Hymenoptera,Formicidae,,Myrmecocystus,lugubris,,
37,2023,spring,HOM,S15,2,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
38,2023,spring,HOM,S19,1,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
39,2023,spring,HOM,S20,1,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
42,2023,spring,HOM,S30,2,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
47,2023,spring,HOM,S5,1,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
48,2023,spring,HOM,S9,1,,Hymenoptera,Formicidae,,Myrmecocystus ,kennedyi?,,
49,2023,spring,HOM,S9,2,,Hymenoptera,Formicidae,,Myrmecocystus ,ewarti,,
31,2023,spring,HOM,O29,1,,Hymenoptera,Formicidae,,Pheidole,vistana,,
34,2023,spring,HOM,O30,2,,Hymenoptera,Formicidae,,Pheidole,vistana,,
41,2023,spring,HOM,S30,2,,Hymenoptera,Formicidae,,Pheidole,vistana,,
30,2023,spring,HOM,O29,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
33,2023,spring,HOM,O30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
138,2023,summer,HOM,O5,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
139,2023,summer,HOM,S24,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
25,2023,spring,HOM,O1,1,damaged,Hymenoptera,Formicidae,,,,,
216,2024,spring,Sheephole,O19,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
218,2024,spring,Sheephole,O20,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
227,2024,spring,Sheephole,S19,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
147,2023,summer,Sheephole,O5,1,,Hymenoptera,Formicidae,,Crematograster,depilis,,
151,2023,summer,Sheephole,S4,2,,Hymenoptera,Formicidae,,Crematograster,depilis,,
152,2023,summer,Sheephole,S5,1,,Hymenoptera,Formicidae,,Crematograster,depilis,,
149,2023,summer,Sheephole,S15,1,,Hymenoptera,Formicidae,,damaged,,,
54,2023,spring,Sheephole,O9,1,,Hymenoptera,Formicidae,,Dormyrmex,insanus,,
221,2024,spring,Sheephole,O5,4,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
224,2024,spring,Sheephole,O5,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
228,2024,spring,Sheephole,S20,1,,Hymenoptera,Formicidae,,Forelius,,,
145,2023,summer,Sheephole,O35,2,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
140,2023,summer,Sheephole,O25,1,,Hymenoptera,Formicidae,,Leptothorax?,Yellow with dark gaster,,
51,2023,spring,Sheephole,O24,2,,Hymenoptera,Formicidae,,Messor,pergandei,,
52,2023,spring,Sheephole,O25,5,,Hymenoptera,Formicidae,,Messor,pergandei,,
53,2023,spring,Sheephole,O4,3,,Hymenoptera,Formicidae,,Messor,pergandei,,
55,2023,spring,Sheephole,S15,1,,Hymenoptera,Formicidae,,Myrmecocystus,myrmecocystus,,
217,2024,spring,Sheephole,O20,1,,Hymenoptera,Formicidae,,Myrmecocystus,,,
219,2024,spring,Sheephole,O34,1,,Hymenoptera,Formicidae,,Myrmecocystus,yellow,,
222,2024,spring,Sheephole,O5,1,,Hymenoptera,Formicidae,,Myrmecocystus,,,
225,2024,spring,Sheephole,S19,1,,Hymenoptera,Formicidae,,Myrmecocystus,,,
226,2024,spring,Sheephole,S19,1,,Hymenoptera,Formicidae,,Myrmecocystus,diff,,
144,2023,summer,Sheephole,O35,1,,Hymenoptera,Formicidae,,Myrmecocystus,dark brwon,,
50,2023,spring,Sheephole,O19,1,,Hymenoptera,Formicidae,,Myrmemcocystus,kennedyi?,,
56,2023,spring,Sheephole,S29,1,,Hymenoptera,Formicidae,,Pheidole,hyatti ,,
57,2023,spring,Sheephole,S30,1,,Hymenoptera,Formicidae,,Pheidole,hyatti ,,
146,2023,summer,Sheephole,O4,1,,Hymenoptera,Formicidae,,Pheidole,vistana?,,
148,2023,summer,Sheephole,S15,2,,Hymenoptera,Formicidae,,Pheidole,vistana?,,
223,2024,spring,Sheephole,O5,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
229,2024,spring,Sheephole,S34,4,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
230,2024,spring,Sheephole,S35,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
141,2023,summer,Sheephole,O25,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,,
142,2023,summer,Sheephole,O29,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,,
143,2023,summer,Sheephole,O30,4,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,,
150,2023,summer,Sheephole,S34,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,,
220,2024,spring,Sheephole,O4,1,,Hymenoptera,Formicidae,,tiny pheidole?,,,
244,2024,spring,Tecopa,S4,1,,Hymenoptera,Formicidae,,alate,,,
232,2024,spring,Tecopa,O19,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
235,2024,spring,Tecopa,S10,3,,Hymenoptera,Formicidae,,Aphaenogaster,,,
236,2024,spring,Tecopa,S14,2,,Hymenoptera,Formicidae,,Aphaenogaster,,,
237,2024,spring,Tecopa,S19,2,,Hymenoptera,Formicidae,,Aphaenogaster,,,
238,2024,spring,Tecopa,S24,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
239,2024,spring,Tecopa,S29,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
241,2024,spring,Tecopa,S30,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
242,2024,spring,Tecopa,S34,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
243,2024,spring,Tecopa,S39,1,,Hymenoptera,Formicidae,,Aphaenogaster,,,
157,2023,summer,Tecopa,O10,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
165,2023,summer,Tecopa,O24,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
169,2023,summer,Tecopa,O29,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
180,2023,summer,Tecopa,S14,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
181,2023,summer,Tecopa,S15,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
182,2023,summer,Tecopa,S19,3,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
184,2023,summer,Tecopa,S20,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
185,2023,summer,Tecopa,S25,2,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
188,2023,summer,Tecopa,S29,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
190,2023,summer,Tecopa,S9,1,,Hymenoptera,Formicidae,,Aphaenogaster?,,,
247,2024,spring,Tecopa,S9,1,,Hymenoptera,Formicidae,,Crematogaster,,,
70,2023,spring,Tecopa,S4,1,,Hymenoptera,Formicidae,,Crematograster,depilis,,
158,2023,summer,Tecopa,O10,1,,Hymenoptera,Formicidae,,Forelius,mccooki,,
66,2023,spring,Tecopa,O4,1,,Hymenoptera,Formicidae,,Leptothorax/Temnothoraxx,"brown, looks like a 4 segmented club",damage,
60,2023,spring,Tecopa,nolabel,2,,Hymenoptera,Formicidae,,Messor,pergandei,,
61,2023,spring,Tecopa,nolabel,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
65,2023,spring,Tecopa,O4,4,,Hymenoptera,Formicidae,,Messor,pergandei,,
68,2023,spring,Tecopa,O9,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
72,2023,spring,Tecopa,S9,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
234,2024,spring,Tecopa,S10,1,,Hymenoptera,Formicidae,,Messor,andrei,,
245,2024,spring,Tecopa,S40,1,,Hymenoptera,Formicidae,,Messor,andrei,,
153,2023,summer,Tecopa,nolabel,2,,Hymenoptera,Formicidae,,Messor,pergandei,,
155,2023,summer,Tecopa,nolabel,3,,Hymenoptera,Formicidae,,Messor,pergandei,,
156,2023,summer,Tecopa,O10,5,,Hymenoptera,Formicidae,,Messor,pergandei,,
159,2023,summer,Tecopa,O14,3,,Hymenoptera,Formicidae,,Messor,pergandei,,
161,2023,summer,Tecopa,O15,3,,Hymenoptera,Formicidae,,Messor,pergandei,,
163,2023,summer,Tecopa,O19,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
164,2023,summer,Tecopa,O20,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
166,2023,summer,Tecopa,O25,2,,Hymenoptera,Formicidae,,Messor,pergandei,,
170,2023,summer,Tecopa,O29,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
171,2023,summer,Tecopa,O30,6,,Hymenoptera,Formicidae,,Messor,pergandei,,
173,2023,summer,Tecopa,O35,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
174,2023,summer,Tecopa,O39,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
179,2023,summer,Tecopa,S10,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
186,2023,summer,Tecopa,S25,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
187,2023,summer,Tecopa,S29,1,,Hymenoptera,Formicidae,,Messor,pergandei,,
62,2023,spring,Tecopa,O20,1,,Hymenoptera,Formicidae,,Myrmecocystus,lugubris,,
71,2023,spring,Tecopa,S5,1,,Hymenoptera,Formicidae,,Myrmecocystus,semirufus?,,
160,2023,summer,Tecopa,O14,1,,Hymenoptera,Formicidae,,Pheidole,,,
177,2023,summer,Tecopa,S10,2,,Hymenoptera,Formicidae,,Pheidole,desertorum?,,
175,2023,summer,Tecopa,O39,1,,Hymenoptera,Formicidae,,Pheidole brown?,,,
58,2023,spring,Tecopa,nolabel,1,,Hymenoptera,Formicidae,,Pogonomyrex,red,,
59,2023,spring,Tecopa,nolabel,1,,Hymenoptera,Formicidae,,Pogonomyrex,red,,
63,2023,spring,Tecopa,O24,1,,Hymenoptera,Formicidae,,Pogonomyrex,hoelldobleri,,
67,2023,spring,Tecopa,O9,1,,Hymenoptera,Formicidae,,Pogonomyrex,hoelldobleri,,
69,2023,spring,Tecopa,S19,1,,Hymenoptera,Formicidae,,Pogonomyrex,hoelldobleri,,
231,2024,spring,Tecopa,O10,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
240,2024,spring,Tecopa,S29,2,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
154,2023,summer,Tecopa,nolabel,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
162,2023,summer,Tecopa,O19,2,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
168,2023,summer,Tecopa,O29,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
176,2023,summer,Tecopa,O4,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
178,2023,summer,Tecopa,S10,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
183,2023,summer,Tecopa,S19,1,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
191,2023,summer,Tecopa,S9,2,,Hymenoptera,Formicidae,,Pogonomyrmex,,,
64,2023,spring,Tecopa,O29,1,,Hymenoptera,Formicidae,,shiny Temnothorax,,,
233,2024,spring,Tecopa,O24,2,,Hymenoptera,Formicidae,,small brown,,,
246,2024,spring,Tecopa,S5,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
167,2023,summer,Tecopa,O25,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,<- these IDs don't seem right,
172,2023,summer,Tecopa,O30,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,,
189,2023,summer,Tecopa,S30,1,,Hymenoptera,Formicidae,,Temnothorax,whitfordi,<- these IDs don't seem right,
264,2024,spring,Yucca,S19,1,,Hymenoptera,Formicidae,,Crematogaster,,,
84,2023,spring,Yucca,S24,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,more yellow than I'm used to,
254,2024,spring,Yucca,O35,2,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
261,2024,spring,Yucca,S10,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
270,2024,spring,Yucca,S39,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
73,2023,spring,Yucca,nolabel,4,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,double check tese
74,2023,spring,Yucca,O14,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
75,2023,spring,Yucca,O19,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
76,2023,spring,Yucca,O20,2,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
77,2023,spring,Yucca,O24,2,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
78,2023,spring,Yucca,O25,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
79,2023,spring,Yucca,O9,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
83,2023,spring,Yucca,S14,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
86,2023,spring,Yucca,S29,1,,Hymenoptera,Formicidae,,Forelius,Forelius mccooki,,
248,2024,spring,Yucca,O19,1,,Hymenoptera,Formicidae,,Forelius,,,
255,2024,spring,Yucca,O35,1,,Hymenoptera,Formicidae,,Forelius,mcooki,,
263,2024,spring,Yucca,S19,1,,Hymenoptera,Formicidae,,Forelius,,,
275,2024,spring,Yucca,S9,1,,Hymenoptera,Formicidae,,Forelius,,,
192,2023,summer,Yucca,O14,2,,Hymenoptera,Formicidae,,Forelius,mcooki,,
194,2023,summer,Yucca,O15,2,,Hymenoptera,Formicidae,,Forelius,mcooki,,
195,2023,summer,Yucca,O25,6,,Hymenoptera,Formicidae,,Forelius,mcooki,,
197,2023,summer,Yucca,O30,2,,Hymenoptera,Formicidae,,Forelius,mcooki,,
200,2023,summer,Yucca,S15,2,,Hymenoptera,Formicidae,,Forelius,mcooki,,
202,2023,summer,Yucca,S20,2,,Hymenoptera,Formicidae,,Forelius,mcooki,,
249,2024,spring,Yucca,O20,7,,Hymenoptera,Formicidae,,Myrmecocystus,yellow,,
250,2024,spring,Yucca,O24,1,,Hymenoptera,Formicidae,,Myrmecocystus,yellow,,
198,2023,summer,Yucca,O30,2,,Hymenoptera,Formicidae,,Myrmecocystus,endiocites,,
277,2023,spring,Yucca,S10,1,,Opiliones,Formicidae,,Myrmecocystus ,mexicanus,,
205,2023,summer,Yucca,S5,1,,Hymenoptera,Formicidae,,Myrmecocystus ,myrmecocystus,,
82,2023,spring,Yucca,S14,5,,Hymenoptera,Formicidae,,Pheidole,desertorum,one major,
85,2023,spring,Yucca,S25,1,,Hymenoptera,Formicidae,,Pheidole,desertorum,,
253,2024,spring,Yucca,O34,1,,Hymenoptera,Formicidae,,Pheidole,,,
257,2024,spring,Yucca,O39,1,,Hymenoptera,Formicidae,,Pheidole,,,
258,2024,spring,Yucca,O4,1,,Hymenoptera,Formicidae,,Pheidole,,,
259,2024,spring,Yucca,O40,1,,Hymenoptera,Formicidae,,Pheidole,,,
269,2024,spring,Yucca,S34,2,,Hymenoptera,Formicidae,,Pheidole,,,
193,2023,summer,Yucca,O14,4,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
196,2023,summer,Yucca,O25,11,,Hymenoptera,Formicidae,,Pheidole,hyatti,1 major,
203,2023,summer,Yucca,S20,1,,Hymenoptera,Formicidae,,Pheidole,desertorum?,,
204,2023,summer,Yucca,S5,4,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
276,2024,spring,Yucca,S9,1,,Hymenoptera,Formicidae,,Pogonomyrmex?,,,
80,2023,spring,Yucca,O9,1,,Hymenoptera,Formicidae,,Solenopsis,Solenopsis xyloni,,
81,2023,spring,Yucca,S10,3,,Hymenoptera,Formicidae,,Solenopsis,Solenopsis xyloni,,
251,2024,spring,Yucca,O25,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
252,2024,spring,Yucca,O30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
260,2024,spring,Yucca,O40,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
262,2024,spring,Yucca,S19,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
265,2024,spring,Yucca,S24,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
266,2024,spring,Yucca,S25,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
267,2024,spring,Yucca,S29,2,,Hymenoptera,Formicidae,,Solenopsis,,,
268,2024,spring,Yucca,S30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
271,2024,spring,Yucca,S39,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
272,2024,spring,Yucca,S4,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
273,2024,spring,Yucca,S40,2,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
274,2024,spring,Yucca,S9,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
199,2023,summer,Yucca,S10,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
201,2023,summer,Yucca,S20,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
206,2023,summer,Yucca,S9,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
256,2024,spring,Yucca,O35,1,,Hymenoptera,Formicidae,,Solenopsis?? Tiny and yellow,,,
